iter	RMSE
0	14.60957396
1	14.24122552
2	13.8667943
3	13.54376416
4	13.22446313
5	12.87318022
6	12.56910849
7	12.29358389
8	12.02123349
9	11.73147359
10	11.45036385
11	11.2256469
12	10.99098721
13	10.74134012
14	10.52131861
15	10.30732577
16	10.0851316
17	9.875960446
18	9.692765885
19	9.521181461
20	9.334817851
21	9.157994603
22	8.9779048
23	8.831050643
24	8.671680945
25	8.537763805
26	8.387920343
27	8.256846408
28	8.124566506
29	7.997908666
30	7.880784204
31	7.776618796
32	7.682955563
33	7.575641661
34	7.469673371
35	7.374052836
36	7.281580199
37	7.198060039
38	7.11206388
39	7.028398506
40	6.954577867
41	6.883632134
42	6.807740921
43	6.740205882
44	6.681634574
45	6.619838829
46	6.562751125
47	6.502768786
48	6.450751684
49	6.408573281
50	6.365163696
51	6.313516171
52	6.269682341
53	6.222036971
54	6.184111869
55	6.139452544
56	6.105135836
57	6.070338131
58	6.037298
59	6.00280447
60	5.972161662
61	5.937591268
62	5.907539109
63	5.874729496
64	5.844152064
65	5.81443635
66	5.784567322
67	5.765726565
68	5.738837751
69	5.720756788
70	5.698329754
71	5.67545634
72	5.652579242
73	5.63354905
74	5.612358889
75	5.590700871
76	5.572869497
77	5.559605082
78	5.535933481
79	5.522573814
80	5.505725435
81	5.488792567
82	5.472066659
83	5.461994174
84	5.448044804
85	5.44042505
86	5.434323727
87	5.422657204
88	5.404371379
89	5.395511687
90	5.385796829
91	5.377159179
92	5.361434712
93	5.35402973
94	5.343839637
95	5.333747338
96	5.324975191
97	5.314415173
98	5.307446051
99	5.299140355
100	5.290522968
101	5.283102322
102	5.270996049
103	5.262762874
104	5.254336134
105	5.245918342
106	5.232124197
107	5.226258361
108	5.218184252
109	5.211384703
110	5.205858576
111	5.199239372
112	5.193818466
113	5.18655235
114	5.179315829
115	5.175117574
116	5.166134844
117	5.159508674
118	5.152728307
119	5.151378783
120	5.144475189
121	5.138914867
122	5.133774465
123	5.129323008
124	5.12287159
125	5.118681253
126	5.110119632
127	5.105975814
128	5.101479706
129	5.096060079
130	5.092304607
131	5.089880109
132	5.08527679
133	5.079589118
134	5.076010191
135	5.070602804
136	5.069304636
137	5.0650722
138	5.062099025
139	5.057024187
140	5.053160879
141	5.049123243
142	5.044214852
143	5.040595048
144	5.038162542
145	5.030242921
146	5.026856785
147	5.021083639
148	5.01699341
149	5.014098963
150	5.007659659
151	5.002866681
152	4.999489585
153	4.997393065
154	4.992711462
155	4.987561232
156	4.982623114
157	4.978255347
158	4.975593897
159	4.973100282
160	4.968294901
161	4.962347567
162	4.958923142
163	4.952956078
164	4.947238058
165	4.944025563
166	4.942994742
167	4.938985902
168	4.933903082
169	4.92775149
170	4.923975616
171	4.921137957
172	4.915530786
173	4.907762768
174	4.9044148
175	4.898975157
176	4.896579744
177	4.892783217
178	4.889665983
179	4.886452098
180	4.882712881
181	4.877932426
182	4.877244044
183	4.870350895
184	4.866442968
185	4.862542475
186	4.859119594
187	4.855930747
188	4.852726995
189	4.848814505
190	4.847123927
191	4.843245557
192	4.839594015
193	4.837315449
194	4.835248763
195	4.832984778
196	4.830362768
197	4.825701753
198	4.823660731
199	4.820693865
200	4.819266736
201	4.816282305
202	4.812325056
203	4.808830989
204	4.806975842
205	4.803317764
206	4.799338125
207	4.795374741
208	4.793551912
209	4.791561157
210	4.788309887
211	4.788185752
212	4.78544369
213	4.783199579
214	4.778980068
215	4.774520261
216	4.771789258
217	4.767743992
218	4.765541827
219	4.7636994
220	4.760756898
221	4.759851885
222	4.758765864
223	4.756208009
224	4.752080886
225	4.748027296
226	4.745618216
227	4.743883376
228	4.740927018
229	4.737514462
230	4.731426304
231	4.729503475
232	4.72760897
233	4.72294884
234	4.721976693
235	4.718426137
236	4.715188255
237	4.714874717
238	4.713934232
239	4.712079317
240	4.710009844
241	4.708416848
242	4.706514381
243	4.705132935
244	4.70413308
245	4.699249388
246	4.697706708
247	4.693230958
248	4.692271615
249	4.690335899
250	4.687666299
251	4.686116078
252	4.685458197
253	4.683926912
254	4.677719428
255	4.675789745
256	4.672555209
257	4.669797402
258	4.663863977
259	4.661832072
260	4.657799484
261	4.656454373
262	4.648861516
263	4.646239795
264	4.645380857
265	4.642602207
266	4.637775615
267	4.63751621
268	4.635517734
269	4.628814514
270	4.622822015
271	4.621003197
272	4.618768182
273	4.610862959
274	4.608625732
275	4.603462609
276	4.602356686
277	4.60093503
278	4.594808397
279	4.594415195
280	4.588377018
281	4.586429917
282	4.585473512
283	4.58535107
284	4.581864714
285	4.579568045
286	4.575911898
287	4.570639504
288	4.567917322
289	4.565463716
290	4.563836252
291	4.56297071
292	4.558906235
293	4.558458969
294	4.555924941
295	4.549947749
296	4.547655066
297	4.546454071
298	4.540909805
299	4.540127369
300	4.536331083
301	4.531338919
302	4.526084087
303	4.52185843
304	4.520140939
305	4.513221834
306	4.512748295
307	4.506534349
308	4.503757656
309	4.501399875
310	4.49946087
311	4.496688857
312	4.495392903
313	4.491087255
314	4.488184236
315	4.487465101
316	4.48710462
317	4.484330213
318	4.482652773
