iter	Passed	Remaining
0	1	1567
1	4	2009
2	6	2036
3	8	2058
4	11	2272
5	12	2098
6	13	1943
7	14	1824
8	15	1729
9	16	1663
10	18	1622
11	19	1569
12	20	1521
13	28	1975
14	31	2095
15	32	2027
16	34	1972
17	35	1919
18	36	1880
19	37	1834
20	38	1798
21	39	1762
22	41	1765
23	43	1783
24	45	1763
25	46	1740
26	47	1716
27	48	1689
28	49	1667
29	50	1646
30	55	1743
31	57	1727
32	58	1708
33	61	1750
34	64	1781
35	67	1801
36	68	1782
37	69	1758
38	70	1734
39	71	1713
40	73	1722
41	74	1706
42	76	1694
43	77	1676
44	83	1776
45	84	1755
46	85	1734
47	87	1726
48	88	1714
49	89	1698
50	90	1683
51	91	1670
52	92	1654
53	93	1638
54	94	1623
55	95	1608
56	96	1594
57	98	1595
58	99	1593
59	101	1583
60	102	1571
61	103	1558
62	104	1548
63	105	1540
64	106	1530
65	107	1526
66	108	1516
67	109	1501
68	110	1490
69	117	1554
70	118	1547
71	120	1547
72	121	1539
73	122	1531
74	123	1521
75	124	1511
76	125	1501
77	126	1491
78	127	1481
79	128	1472
80	128	1463
81	131	1470
82	133	1477
83	134	1471
84	135	1463
85	136	1451
86	137	1438
87	138	1430
88	138	1422
89	140	1419
90	141	1411
91	142	1402
92	142	1394
93	143	1386
94	144	1379
95	145	1371
96	147	1372
97	153	1411
98	154	1408
99	156	1405
100	157	1399
101	158	1393
102	159	1386
103	160	1385
104	161	1379
105	162	1373
106	163	1366
107	164	1358
108	165	1351
109	166	1350
110	174	1395
111	176	1398
112	177	1393
113	178	1387
114	179	1381
115	180	1375
116	181	1372
117	183	1370
118	184	1364
119	185	1358
120	186	1357
121	188	1357
122	189	1352
123	190	1347
124	192	1346
125	193	1345
126	194	1340
127	195	1334
128	196	1329
129	197	1323
130	198	1317
131	199	1310
132	200	1304
133	201	1299
134	203	1301
135	208	1321
136	209	1316
137	210	1313
138	212	1315
139	213	1310
140	214	1305
141	215	1301
142	216	1297
143	217	1292
144	218	1287
145	219	1282
146	220	1280
147	221	1275
148	223	1275
149	224	1272
150	228	1282
151	229	1279
152	230	1275
153	231	1270
154	232	1266
155	233	1261
156	234	1257
157	235	1253
158	236	1248
159	237	1244
160	238	1241
161	239	1238
162	240	1234
163	245	1250
164	246	1249
165	248	1249
166	249	1244
167	250	1240
168	251	1236
169	252	1234
170	256	1244
171	263	1269
172	270	1293
173	277	1319
174	280	1320
175	282	1324
176	285	1325
177	291	1346
178	295	1356
179	299	1363
180	301	1363
181	302	1359
182	303	1353
183	305	1356
184	309	1363
185	310	1360
186	314	1367
187	316	1366
188	318	1365
189	319	1362
190	320	1357
191	321	1352
192	322	1347
193	327	1359
194	328	1354
195	329	1350
196	330	1345
197	330	1340
198	331	1336
199	332	1331
200	334	1327
201	335	1323
202	336	1319
203	337	1316
204	338	1312
205	339	1308
206	340	1303
207	345	1316
208	347	1314
209	349	1314
210	350	1311
211	351	1305
212	352	1301
213	353	1297
214	354	1293
215	355	1289
216	356	1284
217	356	1280
218	357	1276
219	358	1272
220	362	1277
221	364	1278
222	365	1274
223	366	1270
224	367	1266
225	368	1262
226	369	1259
227	370	1255
228	371	1251
229	372	1247
230	373	1243
231	375	1242
232	376	1238
233	377	1234
234	378	1231
235	383	1240
236	384	1237
237	386	1237
238	387	1235
239	388	1231
240	389	1227
241	390	1224
242	391	1220
243	392	1216
244	393	1213
245	394	1209
246	395	1205
247	396	1202
248	398	1201
249	403	1211
250	405	1210
251	407	1208
252	408	1205
253	409	1202
254	410	1198
255	411	1195
256	412	1191
257	413	1188
258	414	1186
259	416	1184
260	417	1182
261	420	1183
262	421	1180
263	422	1177
264	423	1174
265	424	1171
266	425	1167
267	426	1164
268	428	1164
269	429	1161
270	430	1158
271	431	1155
272	432	1152
273	433	1149
274	437	1152
275	439	1151
276	441	1153
277	443	1151
278	444	1148
279	445	1145
280	446	1141
281	447	1138
282	448	1135
283	449	1132
284	450	1129
285	451	1126
286	452	1123
287	455	1127
288	462	1136
289	463	1134
290	464	1131
291	465	1128
292	466	1125
293	467	1122
294	468	1119
295	469	1116
296	470	1113
297	471	1111
298	473	1109
299	475	1109
300	477	1108
301	478	1106
302	479	1104
303	481	1101
304	482	1098
305	482	1095
306	483	1092
307	484	1089
308	485	1086
309	486	1083
310	487	1080
311	488	1077
312	489	1074
313	497	1086
314	499	1086
315	500	1084
316	501	1080
317	502	1078
318	503	1075
319	504	1072
320	505	1069
321	506	1066
322	507	1063
323	508	1060
324	509	1058
325	513	1062
326	514	1059
327	516	1057
328	517	1055
329	518	1052
330	519	1049
331	520	1046
332	521	1044
333	522	1041
334	523	1038
335	524	1036
336	525	1033
337	526	1030
338	531	1036
339	532	1034
340	534	1033
341	535	1030
342	536	1028
343	537	1025
344	539	1023
345	540	1020
346	541	1018
347	542	1015
348	542	1012
349	543	1010
350	544	1007
351	552	1017
352	554	1015
353	555	1014
354	556	1011
355	557	1009
356	558	1006
357	560	1004
358	560	1001
359	561	999
360	562	996
361	563	993
362	566	993
363	568	994
364	570	991
365	570	988
366	571	986
367	572	983
368	573	981
369	575	979
370	576	976
371	576	974
372	577	971
373	578	968
374	579	966
375	580	963
376	582	962
377	588	969
378	590	967
379	592	965
380	593	964
381	594	961
382	595	959
383	596	956
384	597	954
385	598	951
386	599	949
387	600	946
388	601	944
389	607	950
390	609	949
391	612	949
392	613	947
393	614	944
394	615	942
395	616	939
396	617	937
397	617	934
398	618	932
399	619	929
400	623	930
401	625	930
402	626	928
403	627	925
404	628	923
405	629	921
406	630	919
407	631	916
408	632	914
409	633	911
410	634	909
411	635	906
412	636	904
413	637	902
414	638	900
415	639	897
416	641	897
417	643	895
418	644	894
419	645	892
420	646	889
421	647	887
422	648	885
423	649	882
424	652	882
425	653	880
426	659	885
427	661	883
428	662	881
429	663	879
430	664	877
431	666	875
432	667	873
433	668	871
434	669	868
435	670	867
436	671	864
437	672	862
438	676	864
439	678	863
440	680	862
441	681	860
442	682	858
443	683	855
444	684	853
445	685	851
446	686	849
447	687	846
448	688	845
449	689	843
450	690	840
451	696	844
452	698	843
453	700	842
454	701	839
455	702	837
456	703	835
457	704	833
458	705	831
459	706	829
460	707	827
461	708	825
462	711	824
463	714	824
464	715	822
465	715	820
466	716	818
467	717	815
468	718	813
469	719	811
470	720	809
471	722	807
472	723	806
473	724	803
474	725	801
475	726	799
476	727	797
477	732	800
478	734	798
479	736	797
480	736	795
481	737	793
482	738	790
483	739	788
484	741	787
485	742	784
486	743	782
487	744	780
488	745	778
489	746	776
490	751	779
491	753	777
492	755	776
493	756	774
494	758	773
495	759	771
496	760	769
497	761	767
498	762	765
499	763	763
500	763	760
501	764	758
502	766	757
503	769	757
504	770	755
505	771	753
506	772	751
507	773	749
508	774	747
509	775	745
510	776	743
511	777	741
512	778	739
513	779	737
514	780	735
515	782	734
516	788	737
517	790	735
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	799	720
526	800	718
527	801	716
528	802	714
529	804	713
530	808	713
531	809	712
532	810	710
533	811	708
534	812	706
535	813	704
536	814	702
537	815	700
538	816	698
539	817	696
540	818	694
541	819	692
542	820	690
543	825	691
544	826	690
545	828	689
546	829	687
547	830	685
548	831	683
549	832	681
550	833	679
551	834	677
552	835	675
553	836	673
554	837	671
555	838	669
556	842	669
557	847	671
558	850	670
559	851	668
560	852	666
561	853	664
562	853	662
563	854	660
564	855	658
565	857	657
566	858	655
567	860	654
568	861	652
569	863	651
570	864	649
571	865	647
572	866	646
573	867	644
574	868	642
575	869	640
576	871	638
577	872	636
578	873	634
579	873	632
580	875	631
581	876	629
582	881	630
583	882	628
584	885	628
585	886	626
586	887	624
587	888	622
588	889	620
589	890	618
590	890	616
591	892	614
592	893	613
593	894	611
594	895	609
595	898	609
596	903	609
597	904	608
598	906	606
599	907	604
600	908	603
601	909	601
602	910	599
603	911	597
604	912	595
605	913	593
606	914	592
607	915	590
608	918	589
609	920	588
610	920	586
611	921	584
612	922	582
613	923	580
614	924	578
615	925	576
616	927	575
617	928	573
618	929	572
619	930	570
620	931	568
621	932	566
622	933	565
623	937	564
624	939	563
625	940	561
626	941	559
627	942	558
628	943	556
629	944	554
630	945	552
631	946	550
632	947	549
633	948	547
634	949	545
635	950	544
636	953	543
637	954	541
638	955	539
639	956	538
